nom_commune,cog_commune,siren_commune,nuance_politique,famille_nuance
Bernières-Sur-Mer,14066,211400668,LNC,Non classé
Biéville-Beuville,14068,211400684,LNC,Non classé
Beuvillers,14069,211400692,LNC,Non classé
Beuvron-En-Auge,14070,211400700,NC,Non classé
Blainville-Sur-Orne,14076,211400767,LDVG,Gauche
Blangy-Le-Château,14077,211400775,NC,Non classé
Blay,14078,211400783,NC,Non classé
Blonville-Sur-Mer,14079,211400791,LNC,Non classé
Le Bô,14080,211400809,NC,Non classé
La Boissière,14082,211400825,NC,Non classé
Bonnebosq,14083,211400833,NC,Non classé
Bonnemaison,14084,211400841,NC,Non classé
Bonneville-La-Louvet,14085,211400858,NC,Non classé
Bonneville-Sur-Touques,14086,211400866,NC,Non classé
Bonnoeil,14087,211400874,NC,Non classé
Bons-Tassilly,14088,211400882,NC,Non classé
Bougy,14089,211400890,NC,Non classé
Boulon,14090,211400908,NC,Non classé
Bourgeauville,14091,211400916,NC,Non classé
Bourguébus,14092,211400924,LNC,Non classé
Branville,14093,211400932,,
Brémoy,14096,211400965,NC,Non classé
Bretteville-Le-Rabet,14097,211400973,NC,Non classé
Thue-Et-Mue,14098,200065027,LDVD,Droite
Bretteville-Sur-Laize,14100,211401005,LNC,Non classé
Bretteville-Sur-Odon,14101,211401013,LDIV,Courants politiques divers
Le Breuil-En-Auge,14102,211401021,LNC,Non classé
Le Breuil-En-Bessin,14103,211401039,NC,Non classé
Le Brévedent,14104,211401047,NC,Non classé
Bréville-Les-Monts,14106,211401062,NC,Non classé
Bricqueville,14107,211401070,NC,Non classé
Brucourt,14110,211401104,NC,Non classé
Bucéels,14111,211401112,NC,Non classé
Le Bû-Sur-Rouvres,14116,211401161,NC,Non classé
Cabourg,14117,211401179,,
Caen,14118,211401187,,
Cagny,14119,211401195,LNC,Non classé
Cahagnes,14120,211401203,LNC,Non classé
Cahagnolles,14121,211401211,NC,Non classé
La Caine,14122,211401229,NC,Non classé
Cairon,14123,211401237,LNC,Non classé
La Cambe,14124,211401245,NC,Non classé
Cambes-En-Plaine,14125,211401252,LNC,Non classé
Cambremer,14126,200083194,LNC,Non classé
Campagnolles,14127,211401278,,
Campigny,14130,211401302,NC,Non classé
