Libellé de la commune,Code de la commune,Nom de l'élu,Prénom de l'élu,Date de début du mandat
Manziat,01231,LARDET,Denis,18/05/2020
Marboz,01232,MOIRAUD,Christelle,18/05/2020
Marchamp,01233,MARCELLI,Jean,18/05/2020
Marignieu,01234,DEMANGE,Pascal,18/05/2020
Marlieux,01235,GRANDJEAN,Jean-Paul,18/05/2020
Marsonnas,01236,ANTOINET,Guy,18/05/2020
Martignat,01237,ISSARTEL,Julien,18/05/2020
Massieux,01238,NABETH,Patrick,18/05/2020
Massignieu-De-Rives,01239,VINETTE,Didier,18/05/2020
Matafelon-Granges,01240,DUPARCHY,Jean-Pierre,18/05/2020
Meillonnas,01241,ARRAGON,Jean-Pierre,18/05/2020
Mérignat,01242,POIZAT,Alain,18/05/2020
Messimy-Sur-Saône,01243,GELAS,Vincent,18/05/2020
Meximieux,01244,RAMEL,Jean-Luc,18/05/2020
Bohas-Meyriat-Rignat,01245,DARMEDRU,Emmanuel,18/05/2020
Mézériat,01246,DUPUIT,Guy,18/05/2020
Mijoux,01247,VIALLET,Martine,28/06/2020
Mionnay,01248,CORMORÈCHE,Henri,18/05/2020
Miribel,01249,GAITET,Jean-Pierre,28/06/2020
Misérieux,01250,AUMONIER,Gabriel,18/05/2020
Mogneneins,01252,CALAS,Franck,18/05/2020
Montagnat,01254,CHICHOUX,Yvan,18/05/2020
Montagnieu,01255,ROSET,Jean,18/05/2020
Montanges,01257,MARQUET,Christophe,18/05/2020
Montceaux,01258,DESCHIZEAUX,Jean Claude,18/05/2020
Montcet,01259,TARPIN,Franck,18/05/2020
Le Montellier,01260,MARTIN,Patrice,18/05/2020
Monthieux,01261,PAILLASSON,Philippe,18/05/2020
Montluel,01262,FABIANO,Anne,18/05/2020
Montmerle-Sur-Saône,01263,PROST,Philippe,18/05/2020
Montracol,01264,LAFONT,David,18/05/2020
Montréal-La-Cluse,01265,DUFOUR,Patrick,18/05/2020
Montrevel-En-Bresse,01266,BREVET,Jean-Yves,18/05/2020
Nurieux-Volognat,01267,BERGER,Arlette,18/05/2020
Murs-Et-Gélignieux,01268,VALLIN,Pierre,18/05/2020
Nantua,01269,THOMASSET,Jean-Pascal,18/05/2020
Neuville-Les-Dames,01272,CHALAYER,Michel,18/05/2020
Neuville-Sur-Ain,01273,DUPUIS,Thierry,18/05/2020
Les Neyrolles,01274,JUILLARD,Lucien,18/05/2020
Neyron,01275,FRANCOIS,Christine,05/12/2021
Niévroz,01276,BATTISTA,Patrick,18/05/2020
Nivollet-Montgriffon,01277,SIMONNET,Emmanuel,18/05/2020
Oncieu,01279,JACQUEMIN,Denis,18/05/2020
Ordonnaz,01280,REYMOND-BABOLAT,Laurent,28/06/2020
Ornex,01281,GUICHARD,Olivier,18/05/2020
Outriaz,01282,MOREL,Claude,18/05/2020
Oyonnax,01283,PERRAUD,Michel,18/05/2020
Ozan,01284,PESENTI,Marie-Jeanne,18/05/2020
Parcieux,01285,TISSERAND,Nathalie,18/05/2020
Parves Et Nattages,01286,COMET,Claude,18/05/2020
Péron,01288,BLANC,Dominique,15/06/2021
Péronnas,01289,CÉDILEAU,Hélène,18/05/2020
Pérouges,01290,MAGNON-MICOLAS,Nathalie,18/05/2020
Perrex,01291,VIGHETTI,Jean-Jacques,18/05/2020
Peyriat,01293,GUENRO,Sylvain,18/05/2020
Peyrieu,01294,BETTANT,Maurice,28/06/2020
Peyzieux-Sur-Saône,01295,THIVOLLE,Monique,18/05/2020
Pirajoux,01296,PIROUX,Noël,18/05/2020
Pizay,01297,GRIMAND,Marc,18/05/2020
Plagne,01298,DINOCHEAU,Philippe,28/06/2020
Le Plantay,01299,SARONI,Patrick,18/05/2020
Polliat,01301,BIENVENU,Bernard,18/05/2020
Pollieu,01302,BRUN,Jean-Philippe,28/06/2020
Poncin,01303,GIROUX,Jean-Michel,18/05/2020
Pont-D'Ain,01304,BOURDEAUDUCQ,Vincent,11/10/2020
Pont-De-Vaux,01305,PAUGET,Yves,18/05/2020
Pont-De-Veyle,01306,MARQUOIS,Michel,18/05/2020
Port,01307,DUTRAIT,Gérard,28/06/2020
Pougny,01308,MARCELOT,Annie,28/06/2020
Pouillat,01309,REVEL,Jean-Pierre,18/05/2020
Prémeyzel,01310,ROPELE,Jean-Pierre,18/05/2020
Prémillieu,01311,TORRION,Pascal,28/06/2020
